run_number,timestamp,run_type,target_type,comment,deadtime_fraction,total_events,run_time_seconds,beam_energy_MeV,beam_current_uA,momentum_RHRS_MeV,momentum_LHRS_MeV
4317,2019-02-24T08:14:30,Production,Tungsten 2.8%,"Tungsten 2.8% target; RHRSTwoArm Config.; 45 uA; Prescales T1=T2=30000,T3=T4=15000,T5=1500,T6=1",0.08122,3030930,1081.92,2221.39,47.3883,1000.00,1000.00
4316,2019-02-24T07:55:28,Production,Tungsten 2.8%,"Tungsten 2.8% target; RHRSTwoArm Config.; 45 uA; Prescales T1=T2=30000,T3=T4=15000,T5=1500,T6=1",0.04841,3017412,1820.40,2221.39,47.3319,1000.00,1000.00
4315,2019-02-24T07:24:11,Production,Tungsten 2.8%,"Tungsten 2.8% target; RHRSTwoArm Config.; 45 uA; Prescales T1=T2=30000,T3=T4=15000,T5=1500,T6=1",0.08481,3068061,1051.02,2221.41,46.9435,1000.00,1000.00
4314,2019-02-24T07:05:34,Production,Tungsten 2.8%,"Tungsten 2.8% target; RHRSTwoArm Config.; 45 uA; Prescales T1=T2=30000,T3=T4=15000,T5=1500,T6=1",0.07109,3007745,1404.84,2221.41,46.833,1000.00,1000.00
4313,2019-02-24T06:41:15,Production,Tungsten 2.8%,"Tungsten 2.8% target; RHRSTwoArm Config.; 45 uA; Prescales T1=T2=30000,T3=T4=15000,T5=1500,T6=1",0.08305,3026175,1062.36,2221.44,47.6808,1000.00,1000.00
4312,2019-02-24T06:22:14,Production,Tungsten 2.8%,"Tungsten 2.8% target; RHRSTwoArm Config.; 45 uA; Prescales T1=T2=30000,T3=T4=15000,T5=1500,T6=1",0.06062,3039775,1424.46,2221.33,47.3798,1000.00,1000.00
4311,2019-02-24T05:57:25,Production,Tungsten 2.8%,"Tungsten 2.8% target; RHRSTwoArm Config.; 45 uA; Prescales T1=T2=30000,T3=T4=15000,T5=1500,T6=1",0.07803,3158447,1158.60,2221.4,47.2523,1000.00,1000.00
4310,2019-02-24T05:37:05,Production,Tungsten 2.8%,"Tungsten 2.8% target; RHRSTwoArm Config.; 45 uA; Prescales T1=T2=30000,T3=T4=15000,T5=1500,T6=1",0.07914,3876205,1423.14,2221.38,47.2784,1000.00,1000.00
4309,2019-02-24T05:12:29,Production,Tungsten 2.8%,"Tungsten 2.8% target; RHRSTwoArm Config.; 45 uA; Prescales T1=T2=30000,T3=T4=15000,T5=1500,T6=1",0.08441,3010262,1040.46,2221.39,47.6297,1000.00,1000.00
4308,2019-02-24T04:54:04,Production,Tungsten 2.8%,"Tungsten 2.8% target; RHRSTwoArm Config.; 45 uA; Prescales T1=T2=30000,T3=T4=15000,T5=1500,T6=1",0.08085,3012476,1080.54,2221.39,47.1047,1000.00,1000.00
4307,2019-02-24T04:35:01,Production,Tungsten 2.8%,"Tungsten 2.8% target; RHRSTwoArm Config.; 45 uA; Prescales T1=T2=30000,T3=T4=15000,T5=1500,T6=1",0.06191,3073738,1426.44,2220.76,0.0556212,1000.00,1000.00
4306,2019-02-24T04:09:29,Production,Tungsten 2.8%,"Tungsten 2.8% target; RHRSTwoArm Config.; 45 uA; Prescales T1=T2=30000,T3=T4=15000,T5=1500,T6=1",0.04690,3106287,1858.26,2220.76,0.0557364,1000.00,1000.00
4305,2019-02-24T03:37:30,Production,Tungsten 2.8%,"Tungsten 2.8% target; RHRSTwoArm Config.; 45 uA; Prescales T1=T2=30000,T3=T4=15000,T5=1500,T6=1",0.05522,3013500,1539.84,2221.38,47.4248,1000.00,1000.00
4304,2019-02-24T03:10:38,Production,Tungsten 2.8%,"Tungsten 2.8% target; RHRSTwoArm Config.; 45 uA; Prescales T1=T2=30000,T3=T4=15000,T5=1500,T6=1",0.08484,3008713,1040.10,2220.76,0.0559328,1000.00,1000.00
4303,2019-02-24T02:52:08,Production,Tungsten 2.8%,"Tungsten 2.8% target; RHRSTwoArm Config.; 45 uA; Prescales T1=T2=30000,T3=T4=15000,T5=1500,T6=1",0.08295,3029580,1125.66,2220.76,0.055805,1000.00,1000.00
4302,2019-02-24T02:32:17,Production,Tungsten 2.8%,"Tungsten 2.8% target; RHRSTwoArm Config.; 45 uA; Prescales T1=T2=30000,T3=T4=15000,T5=1500,T6=1",0.07408,3012496,1164.84,2221.35,47.0113,1000.00,1000.00
4301,2019-02-24T02:11:54,Production,Tungsten 2.8%,"Tungsten 2.8% target; RHRSTwoArm Config.; 45 uA; Prescales T1=T2=30000,T3=T4=15000,T5=1500,T6=1",0.08919,3017861,1081.80,2221.44,47.3301,1000.00,1000.00
4300,2019-02-24T01:52:37,Production,Tungsten 2.8%,"Tungsten 2.8% target; RHRSTwoArm Config.; 45 uA; Prescales T1=T2=30000,T3=T4=15000,T5=1500,T6=1",0.08137,3012224,1063.56,2221.42,47.1683,1000.00,1000.00
4299,2019-02-24T01:33:58,Production,Tungsten 2.8%,"Tungsten 2.8% target; RHRSTwoArm Config.; 45 uA; Prescales T1=T2=30000,T3=T4=15000,T5=1500,T6=1",0.06936,3100719,1275.48,2221.36,47.5185,1000.00,1000.00
4298,2019-02-24T01:11:37,Production,Tungsten 2.8%,"Tungsten 2.8% target; RHRSTwoArm Config.; 45 uA; Prescales T1=T2=30000,T3=T4=15000,T5=1500,T6=1",0.07181,3010223,1200.42,2221.37,47.3457,1000.00,1000.00
4297,2019-02-24T00:49:59,Production,Tungsten 2.8%,"Tungsten 2.8% target; RHRSTwoArm Config.; 45 uA; Prescales T1=T2=30000,T3=T4=15000,T5=1500,T6=1",0.08890,3192230,1042.26,2221.38,46.6316,1000.00,1000.00
4296,2019-02-24T00:31:36,Production,Tungsten 2.8%,"Tungsten 2.8% target; RHRSTwoArm Config.; 45 uA; Prescales T1=T2=30000,T3=T4=15000,T5=1500,T6=1",0.06360,3214122,1439.94,2221.42,47.3841,1000.00,1000.00
