run-number rawfile-number n-CODA-events
4248 1 345063
4248 2 345063
4248 3 345063
4248 4 345063
4248 5 345063
4248 6 345063
4248 7 345063
4248 8 345063
4249 0 344933
4249 1 344933
4249 2 344933
4249 3 344933
4249 4 344933
4249 5 344933
4249 6 344933
4249 7 344933
4249 8 344933
4250 0 345090
4250 1 345090
4250 2 345090
4250 3 345090
4250 4 345090
4250 5 345090
4250 6 345090
4250 7 345090
4250 8 345090
4250 9 345090
4251 0 344962
4251 1 344962
4251 2 344962
4251 3 344962
4251 4 344962
4251 5 344962
4251 6 344962
4251 7 344962
4251 8 344962
4252 0 345156
4252 1 345156
4252 2 345156
4252 3 345156
4252 4 345156
4252 5 345156
4252 6 345156
4252 7 345156
4252 8 345156
4253 0 344990
4253 1 344990
4253 2 344990
4253 3 344990
4253 4 344990
4253 5 344990
4253 6 344990
4254 0 344961
4254 1 344961
4254 2 344961
4254 3 344961
4254 4 344961
4254 5 344961
4254 6 344961
4254 7 344961
4254 8 344961
4255 0 344869
4255 1 344869
4255 2 344869
4255 3 344869
4255 4 344869
4255 5 344869
4255 6 344869
4255 7 344869
4255 8 344869
4256 0 344998
4256 1 344998
4256 2 344998
4256 3 344998
4256 4 344998
4256 5 344998
4256 6 344998
4256 7 344998
4256 8 344998
4257 0 344910
4257 1 344910
4257 2 344910
4257 3 344910
4257 4 344910
4257 5 344910
4257 6 344910
4257 7 344910
4257 8 344910
4258 0 345023
4258 1 345023
4258 2 345023
4258 3 345023
4258 4 345023
4258 5 345023
4258 6 345023
4258 7 345023
4258 8 345023
4259 0 344948
4259 1 344948
4259 2 344948
4259 3 344948
4259 4 344948
4259 5 344948
4259 6 344948
4259 7 344948
4259 8 344948
4259 9 344948
4260 0 345006
4260 1 345006
4260 2 345006
4260 3 345006
4260 4 345006
4260 5 345006
4260 6 345006
4260 7 345006
4260 8 345006
4261 0 344869
4261 1 344869
4261 2 344869
4261 3 344869
4261 4 344869
4261 5 344869
4261 6 344869
4261 7 344869
4261 8 344869
4262 0 344994
4262 1 344994
4262 2 344994
4262 3 344994
4262 4 344994
4262 5 344994
4262 6 344994
4262 7 344994
4262 8 344994
4263 0 344884
4263 1 344884
4263 2 344884
4263 3 344884
4263 4 344884
4263 5 344884
4263 6 344884
4263 7 344884
4263 8 344884
4264 0 344906
4264 1 344906
4264 2 344906
4264 3 344906
4264 4 344906
4264 5 344906
4264 6 344906
4264 7 344906
4264 8 344906
4264 9 344906
4265 0 344803
4265 1 344803
4265 2 344803
4265 3 344803
4265 4 344803
4265 5 344803
4265 6 344803
4265 7 344803
4265 8 344803
4265 9 344803
4266 0 344961
4266 1 344961
4266 2 344961
4266 3 344961
4266 4 344961
4266 5 344961
4266 6 344961
4266 7 344961
4266 8 344961
4266 9 344961
4267 0 344919
4267 1 344919
4267 2 344919
4267 3 344919
4267 4 344919
4267 5 344919
4267 6 344919
4267 7 344919
4267 8 344919
4268 0 344727
4268 1 344727
4268 2 344727
4268 3 344727
4268 4 344727
4268 5 344727
4268 6 344727
4268 7 344727
4268 8 344727
4269 0 345129
4269 1 345129
4269 2 345129
4269 3 345129
4269 4 345129
4269 5 345129
4269 6 345129
4269 7 345129
4269 8 345129
4270 0 344715
4270 1 344715
4270 2 344715
4270 3 344715
4270 4 344715
4270 5 344715
4270 6 344715
4270 7 344715
4270 8 344715
4271 0 344759
4271 1 344759
4271 2 344759
4271 3 344759
4271 4 344759
4271 5 344759
4271 6 344759
4271 7 344759
4271 8 344759
4272 0 344782
4272 1 344782
4272 2 344782
4272 3 344782
4272 4 344782
4272 5 344782
4272 6 344782
4272 7 344782
4272 8 344782
4273 0 344797
4273 1 344797
4273 2 344797
4273 3 344797
4273 4 344797
4273 5 344797
4273 6 344797
4273 7 344797
4273 8 344797
4274 0 344828
4274 1 344828
4274 2 344828
4274 3 344828
4274 4 344828
4274 5 344828
4274 6 344828
4274 7 344828
4274 8 344828
4275 0 344753
4275 1 344753
4275 2 344753
4275 3 344753
4275 4 344753
4275 5 344753
4275 6 344753
4275 7 344753
4275 8 344753
4276 0 345071
4276 1 345071
4276 2 345071
4276 3 345071
4276 4 345071
4276 5 345071
4276 6 345071
4276 7 345071
4276 8 345071
4277 0 344829
4277 1 344829
4277 2 344829
4277 3 344829
4277 4 344829
4277 5 344829
4277 6 344829
4277 7 344829
4277 8 344829
4277 9 344829
4278 0 344747
4278 1 344747
4278 2 344747
4278 3 344747
4278 4 344747
4278 5 344747
4278 6 344747
4278 7 344747
4278 8 344747
4278 9 344747
4278 10 344747
4279 0 344717
4279 1 344717
4279 2 344717
4279 3 344717
4279 4 344717
4279 5 344717
4279 6 344717
4279 7 344717
4279 8 344717
4279 9 344717
4280 0 344755
4280 1 344755
4280 2 344755
4280 3 344755
4280 4 344755
4280 5 344755
4280 6 344755
4280 7 344755
4280 8 344755
4281 0 344638
4281 1 344638
4281 2 344638
4281 3 344638
4281 4 344638
4281 5 344638
4281 6 344638
4281 7 344638
4282 0 258
4283 0 1
4284 0 110929
4284 1 110929
4284 2 110929
4284 3 110929
4285 0 110933
4285 1 110933
4286 0 56520
