run-number rawfile-number n-CODA-events
4142 0 64991
4143 0 4068
4144 0 31398
4145 0 4162
4146 0 4985
4147 0 74704
4147 1 74704
4148 0 26548
4149 0 5397
4150 0 2939
4151 0 1229
4152 0 1606
4153 0 19777
4154 0 63385
4155 0 102471
4155 1 102471
4155 2 102471
4155 3 102471
4156 0 102461
4156 1 102461
4157 0 102599
4157 1 102599
4157 2 102599
4157 3 102599
4157 4 102599
4157 5 102599
4157 6 102599
4157 7 102599
4157 8 102599
4157 9 102599
4157 10 102599
4157 11 102599
4157 12 102599
4157 13 102599
4157 14 102599
4157 15 102599
4157 16 102599
4157 17 102599
4157 18 102599
4157 19 102599
4157 20 102599
4157 21 102599
4157 22 102599
4157 23 102599
4157 24 102599
4157 25 102599
4157 26 102599
4157 27 102599
4157 28 102599
4157 29 102599
4157 30 102599
4157 31 102599
4157 32 102599
4157 33 102599
4157 34 102599
4157 35 102599
4157 36 102599
4157 37 102599
4157 38 102599
4157 39 102599
4157 40 102599
4157 41 102599
4157 42 102599
4157 43 102599
4158 0 95911
4159 0 12551
4160 0 102612
4160 1 102612
4160 2 102612
4160 3 102612
4160 4 102612
4160 5 102612
4160 6 102612
4160 7 102612
4160 8 102612
4160 9 102612
4160 10 102612
4160 11 102612
4160 12 102612
4160 13 102612
4160 14 102612
4160 15 102612
4160 16 102612
4161 0 102473
4161 1 102473
4162 0 102479
4162 1 102479
4162 2 102479
4162 3 102479
4162 4 102479
4162 5 102479
4162 6 102479
4162 7 102479
4162 8 102479
4162 9 102479
4162 10 102479
4162 11 102479
4162 12 102479
4162 13 102479
4162 14 102479
4162 15 102479
4162 16 102479
4162 17 102479
4162 18 102479
4162 19 102479
4162 20 102479
4162 21 102479
4162 22 102479
4162 23 102479
4162 24 102479
4162 25 102479
4162 26 102479
4162 27 102479
4162 28 102479
4162 29 102479
4162 30 102479
4162 31 102479
4162 32 102479
4162 33 102479
4162 34 102479
4162 35 102479
4162 36 102479
4162 37 102479
4162 38 102479
4162 39 102479
4162 40 102479
4162 41 102479
4162 42 102479
4162 43 102479
4162 44 102479
4162 45 102479
4162 46 102479
4162 47 102479
4162 48 102479
4162 49 102479
4162 50 102479
4162 51 102479
4162 52 102479
4163 0 102459
4163 1 102459
4163 2 102459
4163 3 102459
4163 4 102459
4163 5 102459
4163 6 102459
4164 0 102416
4164 1 102416
4164 2 102416
4164 3 102416
4164 4 102416
4164 5 102416
4164 6 102416
4164 7 102416
4164 8 102416
4164 9 102416
4164 10 102416
4164 11 102416
4164 12 102416
4164 13 102416
4164 14 102416
4164 15 102416
4164 16 102416
4164 17 102416
4164 18 102416
4164 19 102416
4164 20 102416
4164 21 102416
4164 22 102416
4164 23 102416
4164 24 102416
4164 25 102416
4164 26 102416
4164 27 102416
4164 28 102416
4164 29 102416
4164 30 102416
4164 31 102416
4164 32 102416
4165 0 12280
4166 0 365328
4166 1 365328
4167 0 1
4168 0 292593
4168 1 292593
4168 2 292593
4168 3 292593
4168 4 292593
4168 5 292593
4168 6 292593
4168 7 292593
4168 8 292593
4168 9 292593
4169 0 9821
4170 0 293943
4170 1 293943
4171 0 294048
4171 1 294048
4171 2 294048
4172 0 294039
4172 1 294039
4172 2 294039
4172 3 294039
4172 4 294039
4173 0 37831
4174 0 1221
4175 0 1
4176 0 101738
4176 1 101738
4177 0 101749
4177 1 101749
4177 2 101749
4177 3 101749
4177 4 101749
4177 5 101749
4178 0 263705
4179 0 287058
4179 1 287058
4179 2 287058
4179 3 287058
4180 0 267578
4181 0 287353
4181 1 287353
4181 2 287353
4181 3 287353
4182 0 72
4183 0 4148
4184 0 67731
4184 1 67731
4184 2 67731
4184 3 67731
4184 4 67731
4185 0 66792
4185 1 66792
4185 2 66792
4185 3 66792
4185 4 66792
4185 5 66792
4185 6 66792
4186 0 67100
4186 1 67100
4186 2 67100
4187 0 67116
4187 1 67116
4187 2 67116
4188 0 66748
4188 1 66748
4188 2 66748
4188 3 66748
4188 4 66748
4188 5 66748
4188 6 66748
4188 7 66748
4188 8 66748
4188 9 66748
4188 10 66748
4188 11 66748
4188 12 66748
4189 0 66729
4189 1 66729
4189 2 66729
4189 3 66729
4190 0 65654
4190 1 65654
4190 2 65654
4190 3 65654
4190 4 65654
4190 5 65654
4190 6 65654
4190 7 65654
4190 8 65654
4191 0 344559
4191 1 344559
4191 2 344559
4191 3 344559
4192 0 3705
4193 0 24480
4194 0 13680
4195 0 61973
4195 1 61973
4195 2 61973
4195 3 61973
4196 0 91767
4196 1 91767
4196 2 91767
4196 3 91767
4197 0 87442
4197 1 87442
4197 2 87442
4197 3 87442
4197 4 87442
4198 0 25007
4199 0 344683
4199 1 344683
4199 2 344683
4199 3 344683
4199 4 344683
4199 5 344683
4200 0 343097
4200 1 343097
4200 2 343097
4200 3 343097
4200 4 343097
4200 5 343097
4200 6 343097
4200 7 343097
4200 8 343097
4201 0 342308
4201 1 342308
4201 2 342308
4201 3 342308
4201 4 342308
4201 5 342308
4201 6 342308
